,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Guerrero,"equipo, jugar, querer, partido, pasar, vida, jugador, club, volver, hospital, mundo, liga, vivir, médico, trabajo","agua, lluvia, zona, escuela, falta, alto, denunciar, salud, riesgo, protección civil, civil, temperatura, unidad, incendio, registrar","obra, agua, centro, libro, historia, proyecto, espacio, josé, cultura, personaje, trabajo, autor, miguel, presentar, homicidio","acapulco, municipio, policía, grupo, autoridad, zona, informar, chilpancingo, paolo, seguridad, estatal, encontrar, fiscalía, salud, municipal","ataque, colonia, chilpancingo, acapulco, balazo, arma, zona, confirmar, muerto, seguridad, kilómetro, explosivo, reportar, morir, fuego","banda, metal, encontrar, vida, dejar, querer, lugar, pasar, grupo, casa, deber, historia, música, escuchar, paul","instagram, background, adabel, flex, border, red, color, josé, red social, font, video, center, social, foto, lucir","mujer, comunidad, pueblo, social, programa, trabajo, político, vida, proyecto, proceso, desarrollo, derecho, violencia, federal, universidad"
Hidalgo,"seguridad, policía, colonia, calle, municipio, miguel, estatal, electoral, municipal, autoridad, encontrar, hombre, elemento, federal, grupo","mayo, redacción, criterio, criterio mayo, redacción criterio, redacción criterio mayo, mayo redacción, mayo redacción criterio, criterio mayo redacción, sesión, hospital, salud, médico, paciente, iniciar","salud, sanitario, medida, agua, evitar, pandemia, servicio, centro, informar, riesgo, actividad, mantener, deber, contagio, zona","mujer, tormenta, causar, servicio, smn, judicial, mayo, noticia, relacionado, nota relacionado noticia, relacionado noticia, nota relacionado, nota, diputado, municipio","familia, vida, trabajo, querer, mujer, casa, historia, equipo, hijo, pasar, trabajar, vivir, mundo, gente, contar","municipal, municipio, partido, obra, candidato, pueblo, mineral, pri, miguel, social, comunidad, independencia, ayuntamiento, trabajo, político","policiaco, tula, vida, accidente, lesionado, encontrar, parque, ocurrir, hora, natural, lugar, registrar, noche, cabaña, zona","universidad, mujer, uaeh, social, instituto, estudio, desarrollo, programa, educación, violencia, institución, trabajo, ciencia, universitario, escuela"
Jalisco,"mujer, víctima, seguridad, delito, registrar, policía, justicia, violencia, fiscalía, vehículo, comenzar, condición, penal, término, estatal","charro, ley, marca, forestal, propiedad, industrial, propiedad industrial, impi, atrás, mujer, bosque, proteger, aborto, equipo, caballo","cártel, cjng, grupo, criminal, mencho, generación, organización, cártel generación, droga, federal, unidos, seguridad, oseguera, líder, autoridad","sandoval, cuerpo, fiscalía, encontrar, desaparecido, vallarta, puerto, policía, investigación, autoridad, municipio, puerto vallarta, desaparición, gobernador, informar","salud, hospital, empresa, médico, servicio, municipio, pesos, pandemia, sanitario, deber, atención, social, medida, secretaría, población","partido, querer, gobernador, político, ciudadano, equipo, jal, guadalajara jal, buscar, mujer, familia, estadio, trabajo, deber, vida","seguro, niña, niño, concierto, internet, acceso, salto, presentar, programa, acceso internet, carretera, niña niño, carne, verde, cambiar","transporte, zona, municipio, centro, servicio, pesos, ruta, pueblo, contar, hora, secretaría, proyecto, espacio, actividad, encontrar"
Mexico,"agua, comunidad, forestal, bosque, natural, especie, empresa, ambiental, zona, área, recurso, desarrollo, ambiente, cambio, proyecto","político, querer, partido, historia, social, hablar, creer, obrador, pasar, grupo, gente, mundo, vida, dejar, movimiento","unidos, internacional, seguridad, política, obrador, derecho, deber, económico, economía, derechos, humanos, relación, derechos humanos, investigación, empresa","cultura, cultural, mundo, social, indígena, pueblo, universidad, centro, espacio, histórico, lugar, historia, comunidad, lengua, museo","salud, pandemia, social, población, servicio, trabajo, médico, económico, actividad, programa, hospital, medida, sector, atención, cuidado","contenido, youtube, política, cooki, aceptar, google, contagio, coronavirus, mundo, continuar, google youtube, querer, bbc, energía, muerte","suscripción, dispositivo, acceder, vacuna, añadir, añadir usuario, dispositivo querer, suscripción dispositivo, leer, cambiar, compartir, usuario, querer, experiencia, obrador","mujer, violencia, grupo, encontrar, lugar, muerte, autoridad, población, cártel, familia, organización, vivir, unidos, deber, policía"
Michoacan,"mujer, social, joven, vida, equipo, violencia, casa, familia, investigación, trabajo, niño, educación, fiscalía, derecho, red","gobernador, salud, partido, seguridad, aureol, político, estatal, silvano, electoral, silvano aureol, hospital, www, federal, conejo, diputado","paso, hijo, may, mirel, remesa, alto, presunto, mercado, aprender, cártel, operar, gestión, corazón, proteger, girar","comunidad, zona, municipio, agua, encontrar, lugar, pueblo, contar, región, medida, monarca, mariposa, población, especie, bosque","cártel, grupo, municipio, cjng, policía, criminal, hombre, armado, arma, seguridad, reputación, autodefensa, familia, elemento, zona","rescatar, recibir, apoyo, acusar, martínez, iem, sepultado, alfonso martínez, hora, reglamento, alfonso, promover, morena, indígena, pozo","com, cárdenas, lázaro, centro, lázaro cárdenas, municipio, secretaría, voz, seguridad, autoridad, mimorelia com, mimorelia, servicio, salud, pesos","producción, municipio, productor, desarrollo, tonelada, producir, estatal, sistema, hectárea, pesos, confirmar presencia, niño, ley, programa, rural"
Morelos,"funcionario, judicial, lluvia, mayo, escuela, horario, martes, acuático, manifestación, pedir, investigación, presentar, revisar, amenaza, declaración","colonia, municipio, cuernavaca, fiscalía, calle, seguridad, policía, autoridad, hombre, vehículo, encontrar, investigación, mujer, detener, víctima","cuernavaca, vida, encontrar, josé, lugar, niño, casa, social, maría, historia, red, mujer, joven, zapata, lograr","social, diario, partido, contar, deber, información, servicio, pesos, red, recibir, local, casa, cuernavaca, trabajo, blanco","cuautla, servicio, participar, ofrecer, perseverancia, incendio, basurero, lograr, recolección, familia, agua, barro, tetelcingo, descuento, indígén","pesos, garcía, luna, garcía luna, maría, billete, propiedad, josé, satélite, casa, josé maría, plaza, fraccionamiento, contar, noviembre","agua, zona, municipio, comunidad, proyecto, salud, centro, pueblo, puerto, población, municipal, obra, servicio, informar, autoridad","fiscalía, investigación, justicia, tribunal, delito, titular, cargo, secretario, administración, funcionario, fiscal, miguel ángel, asegurar, carmona, trabajo"
Nayarit,"mujer, destino, rever, grupo, hotel, playa, vallarta, turístico, tepic, hombre, puerto, comentario, punta, lugar, encontrar","playa, rever, destino, pesos, costa, zona, lluvia, resort, hotel, marzo, isla, tepic, hora, turístico, turismo","cuerpo, tepic, and, trabajo, proyecto, encontrar, miguel, social, lugar, actriz, casa, contar, mónico, familia, comentario","cártel, tepic, sandoval, unidos, playa, encontrar, red, zona, social, roberto, estatal, fuerte, lluvia, autoridad, roberto sandoval","niño, seguro, salud, niña, programa, hospital, presentar, municipio, gobernador, tepic, carretera, acceso, verde, cambiar, vía","tepic, vehículo, explosión, mujer, lugar, encontrar, pipa, fiscalía, autopista, informar, pueblo, federal, empresa, zona, accidente","tepic, mujer, social, playa, encontrar, federal, hijo, hotel, centro, municipio, casa, estatal, contar, riu, antonio","tepic, encontrar, salud, fiscalía, casa, social, autoridad, mujer, presentar, medida, señalar, diana, lugar, municipio, investigación"
Nuevo Leon,"mundo, vida, deber, hijo, nacer, casa, pequeño, convertir, unidos, tema, proyecto, dejar, número, contar, social","may, vida, seguridad, may seguridad, irapuato, may vida, miguel, partido, may irapuato, impuesto, ine, celaya, pesos, mayo, negar","partido, político, pri, diputado, secretario, federal, morena, alianza, trabajo, elección, dirigente, deber, reforma, pan, candidato","salud, municipio, centro, servicio, civil, municipal, protección, estatal, social, seguridad, autoridad, empresa, pesos, sector, encontrar","seat, bayern, partido, motor, minuto, versión, cupra, puerta, coche, equipo, sistema, campeón, área, generación, cambio","paso, sat, calibre, táctica, cártel, remesa, alto calibre, maquinaria, perfilar, particularmente, presunto, sísmico, emplear, narrativa, mercado","festival, edición, película, minuto, evento, coronavirus, banda, capital, esperar, leon, concierto, pandemia, norte, agua, corona","fosfo, fallecer, residente, hospital, rodríguez, garcía, samuel, leon, samuel garcía, comorbilidad, masculino, zona, masculino residente, fosfo fosfo, mariana"
Oaxaca,"efemérid, educación, educativo, escuela, escolar, ieepo, docente, servicio, social, niño, dirección, estudiante, radio, trámite, convocatoria","mujer, violencia, justicia, autoridad, estatal, humanos, fiscalía, derechos, derechos humanos, municipal, derecho, policía, investigación, federal, social","oax, municipal, juárez, agua, zona, municipio, abril, quadratín, encontrar, quadratín oax, calle, mayo, oax abril, diciembre, protección","pueblo, comunidad, sismo, territorio, lengua, daño, hotel, región, indígena, minero, municipio, indígén, local, tierra, magnitud","cultura, oaxaqueño, comunidad, cultural, trabajo, historia, proyecto, casa, vida, contar, lugar, centro, espacio, arte, pueblo","salud, mujer, contagio, sanitario, municipio, medida, santa, paciente, enfermedad, pandemia, producto, oaxaqueño, casa, turismo, servicio","murat, gobernador, alejandro murat, desarrollo, alejandro, hinojós, murat hinojós, dif, gobernador alejandro murat, gobernador alejandro, pueblo, apoyo, comunidad, alejandro murat hinojós, trabajar","salud, servicio, deber, atención, personal, médico, estatal, hospital, secretaría, contar, unidad, sanitario, ley, información, instituto"
Puebla,"municipio, pesos, empresa, comunidad, secretaría, agua, social, servicio, municipal, federal, salud, encontrar, grupo, autoridad, familia","encontrar, fiscalía, centro, hora, hospital, informar, médico, estatal, detener, servicio, autoridad, delito, policía, investigación, zona","club, equipo, guillermo, sol, pichardo, pichardo sol, guillermo pichardo, guillermo pichardo sol, liga, libre, juego, estilo, toluca, garcía, estilo libre","autoridad, reportar, salud, vía, difundir, exigir, taquería, issstep, tehuacán, noticia, local, colonia, poblano, acusar, familia","cultural, cultura, patrimonio, turismo, arte, estudio, talavera, humanidad, proceso, historia, trabajo, centro, social, tierra, reconocer","motocicleta, víctima, periférico, sam, sufrir, periférico ecológico, morir, ecológico, huir, tráiler, sam club, club, reportar, incertidumbre, video","equipo, partido, franja, club, liga, jugar, torneo, gol, encontrar, lugar, jugador, futbol, monterrey, rayado, quedar","alejandro, sexual, soto, hospital, banda, abuso, abuso sexual, tom cruise, tom, cruise, contar, gil, revelar, asegurar, sufrir"
Queretaro,"municipio, centro, servicio, estatal, juan, pesos, empresa, municipal, río, actividad, calle, qro, mayo, autoridad, policía","mundo cerca, festival, museo, trailers, maltrato animal, histórico, noticia, asegurar, relacionado, relacionado noticia, robado, nota relacionado, nota, nota relacionado noticia, detener","salud, coronavirus, médico, hospital, informar, secretaría, paciente, medida, contagio, encontrar, pandemia, personal, mujer, empleo, registrar","asegurar, sexual, abuso, abuso sexual, soto, disco, serie, comunicación, contar, tom, cruise, tom cruise, clave, sufrir, revelar","partido, equipo, gallo, liga, club, blanco, pan, querer, lugar, buscar, casa, contar, local, jugador, pri","lluvia, municipal, recorte, irregularidad, alcalde, morén, afectación, confirmar, jalpan, autoridad, nivel, salud, felipe, apagón, puga","efectivo, table, completo, descubrir, aprender, guía, conexión, guía completo, mantener, estrategia, remesa, construir, conversación, paso, amigo","información, directo, found, may, morelia, categoría, zona, cancha, archivo, auditorio, imprimir, conurbado, zona conurbado, municipal, grupo"
Quintana Roo,"seguridad, encontrar, policía, mujer, federal, borge, hotel, roberto, delito, centro, investigación, roberto borge, autoridad, fiscalía, diciembre","social, dejar, grupo, autoridad, salud, hora, banda, mujer, presentar, afectar, secretaría, noviembre, servicio, huracán, delta","borge, desarrollo, estatal, salud, médico, operación, pesos, turismo, roberto, roberto borge, imss, federal, delito, ilícito, administración","jornada, maya, sociedad, zona, internacional, político, aumentar, área, seguridad, natural, cdmx, medida, encontrar, forestal, especie","playa, encontrar, zona, familia, puerto, isla, lugar, autoridad, noticia, juárez, agua, destacado, noticia destacado, municipal, hora","chetumal, turístico, playa, zona, sanitario, noticia, destacado, turista, noticia destacado, medida, pesos, turismo, empresa, maya, pandemia","lluvia, viento, zona, fuerte, huracán, tormenta, news, norte, joaquín, máximo, centro, kilómetro, racha, tropical, sistema","quadratín, diciembre, qroo, quintán, mayo, maya, facebook, autorizado, fuente, instagram, whatsapp, reproducción, youtube, twitter, enlace"
San Luis Potosi,"empresa, planta, económico, proyecto, desarrollo, potosino, carrera, lugar, contar, producción, bmw, trabajo, encontrar, casa, industrial","centro, pueblo, equipo, lugar, cultural, actividad, potosino, quadratín, uaslp, presentar, museo, diciembre, historia, cultura, universidad","salud, gobernador, secretaría, federal, estatal, pandemia, servicio, hospital, medida, centro, trabajo, sanitario, contagio, zona, paciente","cártel, delito, homicidio, realito, zona, pozo, obra, vida, barrio, violencia, servicio, avenida, red, alemán, registrar","transporte, confirmar, potosino, oficial, enfermedad, secretaría, centro, zona, unidos, leer, servicio, sct, destacado, taxista, situación","quadratín, municipio, quadratín slp, municipal, matehuala, empresa, seguridad, mujer, noviembre, encontrar, diciembre, feria empleo, matehuala empresa mayo, empleo matehuala empresa, matehuala empresa","registrar, caída, canaco, lluvia, potosino, pozo, principal, médico, real, autopart, sector, número, dengue, visitar, sequía","may, hombre, detener, policía, mujer, capital, litro, video, irapuato, víctima, asesinar, huachicol, investigar, asalto, pesos"
Sinaloa,"ántrax, chino, chino ántrax, mayo, banda, grupo, aréchiga, gamboa, hombre, encontrar, josé, cártel, mazatlán, aréchiga gamboa, casa","cártel, guzmán, grupo, criminal, chapo, seguridad, unidos, mayo, hijo, organización, zambado, dorado, federal, arma, encontrar","cártel, criminal, organización, grupo, droga, cjng, zona, gente, asegurar, tema, organización criminal, presencia, soto, sexual, abuso","animal, salud, santuario, ostok, mantener, civil, servicio, santuario ostok, operativo, periodo, espacio, agua, hospital, secretario, atender","chapo, guzmán, fentanilo, cártel, unidos, cuerpo, mujer, droga, asegurar, hijo, químico, encontrar, seguridad, joaquín, chapo guzmán","liga, unidos, mayo, mazatlán, equipo, hombre, cártel, zambado, detener, asegurar, temporada, narco, julio, sinaloense, lugar","pesos, empresa, mazatlán, social, centro, proyecto, deber, municipio, trabajo, contar, encontrar, servicio, salud, grupo, ley","cártel, guzmán, chapo, droga, unidos, mayo, zambado, garcía, seguridad, dea, criminal, hijo, organización, dinero, federal"
Sonora,"pueblo, vida, querer, familia, casa, lugar, padre, historia, buscar, vivir, pasar, hijo, comunidad, recibir, gente","agua, martes, educación, ley, mayo, estudiante, materia, cultivo, campo, forma, producción, consumo, distribución, uniforme, cultivo consumo","pitic, pesos, fiesta, fiesta pitic, obra, social, buscar, archivo, sonorens, foro, ofrecer, mundial, obregón, acción, empresa","salud, agua, durazo, federal, autoridad, secretario, municipal, alfonso, municipio, deber, seguridad, secretaría, empresa, social, riesgo","violencia, mujer, justicia, ley, investigación, delito, nier, empresa, olimpia, fiscal, asesinato, oro, penal, claudia, trabajo","encontrar, autoridad, seguridad, grupo, policía, cártel, armado, joven, vida, investigación, víctima, elemento, vehículo, cuerpo, operativo","banda, música, metal, álbum, paul, rock, concierto, tocar, disco, escuchar, historia, canción, lugar, grabar, grupo","música, banda, canción, banda sonoro, película, tema, musical, sonido, historia, disco, artista, mundo, escuchar, vida, serie"
Tabasco,"agua, río, lluvia, inundación, municipio, afectado, presa, nivel, villahermosa, centro, civil, protección civil, frente, informar, población","banda, hospital, lugar, grupo, encontrar, vida, centro, mujer, deber, social, manuel, salud, obrador, quedar, dejar","niño, perro, mundo, peso, red, social, red social, acción, cocina, servicio, tomar, lupita, calle, romper, internet","venta, ley, abril, homicidio, bebida, municipio, salud, puma, villahermosa, kalimba, federal, producto, menor, funcionario, alimento","maya, sitio, aguada, fénix, aguada fénix, arqueológico, antiguo, cultural, historia, estructura, construcción, región, proyecto, lugar, tierra","salud, secretaría, pesos, empresa, diario, estatal, josé, federal, señalar, villahermosa, actividad, medida, municipio, hernández, encontrar","cunduacán, agente, tránsito, centro, agente tránsito, villahermosa, ataque, señalado, vida, presunto, hombre, pipa, localizar, armado, lunes","cunduacán, tránsito, seguro, declarar, servicio, bienestar, ayuntamiento, unidad, equipo, temperatura, civil, paraíso, falta, protección civil, trabajar"
Tamaulipas,"cártel, policía, fiscalía, grupo, encontrar, golfo, estatal, vehículo, autoridad, delito, armado, seguridad, elemento, arma, noreste","seguridad, issste, justicia, sexual, asegurar, secretario, abuso, abuso sexual, judicial, sueldo, trabajador, contar, migrant, revelar, familia","salud, victoria, hospital, matamoros, matamoro, medida, reynosa, personal, sanitario, ángel, servicio, pandemia, contagio, coronavirus, trabajador","laredo, mario, maestro, mujer, historia, portillo, vida, querer, pasar, mario portillo, niño, escuela, gustar, familia, encontrar","agua, tampico, pedir, calor, rosalía quintá, quintá, rosalía, colonia, zona, contar, organismo, sector, madero, uresti, emprendedor","zona, municipio, protección, cfe, agua, victoria, servicio, playa, sistema, madero, familia, civil, incendio, informar, línea","federal, garcía, gobernador, pesos, cabeza, empresa, vaca, cabeza vaca, seguridad, reynosa, municipal, proceso, estatal, garcía cabeza, garcía cabeza vaca","tampico, agencia, lugar, calle, autor agencia, municipal, zona, baldemar, baldemar mijango, mijango, colonia, obra, victoria, encontrar, cuerpo"
Tlaxcala,"sol, torre, torre sol, rosaiselar torre, rosaiselar torre sol, rosaiselar, empresa, económico, robo, perro, empleo, calle, edad, centro, reportar","mujer, familia, municipio, comunidad, encontrar, violencia, hombre, delito, investigación, autoridad, social, escuela, padre, lugar, grupo","municipio, municipal, obra, comunidad, desarrollo, agua, social, tlaxcalteca, ayuntamiento, pesos, federal, familia, sánchez, recurso, calle","salud, pandemia, municipio, sanitario, contar, social, municipal, deber, lugar, producto, contagio, encontrar, pesos, medida, estatal","trabajo, planta, espectáculo, apizaco, despensa, queja, obra, ayuntamiento, uatx, recurso, ciudadano, títere, espectáculo títere, encontrar, cuna","electoral, estatal, partido, federal, trabajo, político, local, proceso, deber, ciudadano, instituto, gobernador, municipal, servicio, ine","servicio, medida, autoridad, lugar, equipo, seguridad, salud, agua, encontrar, sanitario, hora, grupo, unidad, personal, centro","accidente, vida, altura, dejar, personal, hombre, tráiler, carretera, salud, bosque, joven, camioneta, autoridad, vehículo, responsable"
